PERSON_UID,PRECINCT_UID,PRECINCTNAME,PRECINCT_SPLIT_UID,SUBPRECINCTNAME,REGISTRATION_UID,REGISTRATION_SIGNATURE_UID,FIRST_NAME,LAST_NAME,MIDDLE_NAME,SUFFIX,DOB,SSN4,DLN,IDENTIFICATIONNUMBER,VOTERIDTYPECODENAME,VOTERSTATUS,AFFIRMATIONOFRESIDENCYREQUIREDFLAG,PROOFOFRESIDENCYREQUIREDFLAG,SIGNATUREREQUIREDFLAG,OVER18FLAG,ABSENTEEBALLOTSTATUS,ADDRESSLINE1,ADDRESSLINE2,ADDRESSLINE3,CITY,STATE,ZIP,COUNTRY,LOCALITY_UID,LOCALITYNAME
8197366396,1518327682,PrecinctB,271209560,SplitB,3147597388,4999596685,Mark,Mathis,Richard,Dr,01-01-1970 0:00,8810,1082042697,,DLN,Inactive,True,False,False,1,,735 Klein Lights Apt. 510,,,ZIONSVILLE,IN,460775850,US,b9c154d9-a4b1-49b5-a324-c25a53543477,Boone
5913665470,2495912937,PrecinctB,3706246326,SpitA,708566595,6134697140,Thomas,Clark,Casey,,01-01-1970 0:00,4684,1577674545,,DOBSSN,Inactive,True,False,True,1,,9265 Estrada Vista,,,ZIONSVILLE,IN,460775850,US,b9c154d9-a4b1-49b5-a324-c25a53543477,Boone
6425874721,62209993,PrecinctB,6369666364,SpitA,1794183684,968509765,Eric,Curry,Chad,,01-01-1970 0:00,4034,8466955463,,DLN,Active,True,True,False,1,,8156 Moore Ramp,,,ZIONSVILLE,IN,460775850,US,b9c154d9-a4b1-49b5-a324-c25a53543477,Boone
1162007582,6759160080,PrecinctA,3201866714,SpitA,7136819719,1870588715,Steven,Ramos,Dean,,01-01-1970 0:00,7951,7064896014,,DLN,Active,True,True,False,1,,3419 David Creek,,,ZIONSVILLE,IN,460775850,US,b9c154d9-a4b1-49b5-a324-c25a53543477,Boone
8068720337,8879397536,PrecinctB,3238791141,SpitA,2751315359,7849624122,Latasha,Scott,Jennifer,PhD,01-01-1970 0:00,6539,2996312688,,DLN,Inactive,True,False,False,1,,1110 Ellis Loaf,,,ZIONSVILLE,IN,460775850,US,b9c154d9-a4b1-49b5-a324-c25a53543477,Boone
7792476499,7842062598,PrecinctB,7709927692,SplitB,7056739780,2153447637,Miguel,Barber,Joseph,,01-01-1970 0:00,5573,715151276,,DLN,Active,False,False,False,1,,1628 Farmer Plaza,,,ZIONSVILLE,IN,460775850,US,b9c154d9-a4b1-49b5-a324-c25a53543477,Boone
1312525865,9342070979,PrecinctA,710809748,SpitA,332210050,1649935274,Paul,Hester,George,,01-01-1970 0:00,5694,6179224211,,DLN,Active,False,False,False,1,,4312 Teresa Parkways Suite 096,,,ZIONSVILLE,IN,460775850,US,b9c154d9-a4b1-49b5-a324-c25a53543477,Boone
5433815641,3527045718,PrecinctB,9964640358,SplitB,8271640127,5823691641,Andrew,Petersen,Paul,MD,01-01-1970 0:00,7614,6548133337,,DOBGEN,Inactive,True,False,False,1,,911 Edwards River Apt. 384,,,ZIONSVILLE,IN,460775850,US,b9c154d9-a4b1-49b5-a324-c25a53543477,Boone
4368551906,2282720445,PrecinctA,5214841762,SplitB,9933974446,9773440173,Nicholas,Marshall,Garrett,,01-01-1970 0:00,4724,4032978501,,DOBSSN,Active,True,False,False,1,,86332 Timothy Parkway,,,ZIONSVILLE,IN,460775850,US,b9c154d9-a4b1-49b5-a324-c25a53543477,Boone
4073906263,7088619703,PrecinctB,7988833832,SplitB,7400903433,4033736672,Jon,Bruce,Darren,,01-01-1970 0:00,8833,4183318637,,DLN,Inactive,True,False,False,1,,7137 Vazquez Fort,,,ZIONSVILLE,IN,460775850,US,b9c154d9-a4b1-49b5-a324-c25a53543477,Boone
