ELECTION DATE	ELECTION TYPE	ELECTION NAME	VOTER ID	Last Name	First Name	Middle Name	Suffix	DOB	VOTER STATUS	VOTER STATUS REASON	ABSENTEE INFORMATION	MAILING ADDRESS	HOUSE NUMBER	HOUSE SUFFIX	PRE DIRECTION	STREET NAME	STREET TYPE	POST DIRECTION	UNIT TYPE	UNIT NUMBER	NON STANDARD ADDRESS	CITY	STATE	ZIP	POLLING PLACE CODE	POLLING PLACE NAME	POLLING PLACE ADDRESS	PRECINCT CODE	PRECINCT NAME	SPLIT	BALLOT STYLE	REGISTRATION DATE
01/01/2021	General	MCVR TEST ELECTION	76153701	Morris	Monica	William	MD	5/27/1980	Active				2024	B	 East	Christina Extensions	 AVE	 North	APT	565	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	80697214	Clark	Jeremy	Lisa	MD	5/27/1980	Active				4394	B	 East	Johnson Springs	 ST	 South	 STE	5231	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	74328571	Key	John	Shirley	PhD	5/27/1980	Active				3860	D	 East	Joanne Ports	 AVE	N	 STE	152	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	20790385	Brown	Alexander	Lisa	PhD	5/27/1980	Active				1175	B	 West	Buckley Loaf	DR	 South	 STE	4161	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	39972509	Castro	Theodore	Emily	PhD	5/27/1980	Active				2647	C	 S	Thomas Orchard	 ST	N	 STE	1141	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	96744992	Bonilla	Samuel	Joshua	PhD	5/27/1980	Active				2149	C	N	Pennington Squares	 ST	 North	 STE	1545	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	46534343	Murphy	Terri	Angela	PhD	5/27/1980	Active				1415	C	 West	Alex Spur	DR	 South	 Trailer	3256	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	14499690	Wells	Gregory	Alexander	MD	5/27/1980	Active				6221	B	 East	Medina Radial	DR	N	 STE	8632	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	66445917	Nguyen	Lauren	Jacob	PhD	5/27/1980	Active				9549	D	 East	Brenda Spurs	DR	 S	APT	3765	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	90683732	Stokes	Sara	Paul	PhD	5/27/1980	Inactive				1522	C	N	Margaret Camp	 ST	N	 Unit	8623	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	91710460	Bernard	Robert	Roger	PhD	5/27/1980	Active				6209	D	 West	Kennedy Spurs	 AVE	N	 STE	9463	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	80720343	Gamble	Ashley	Lisa	PhD	5/27/1980	Active				7192	C	 S	Rodriguez Fork	DR	 North	 Trailer	3584	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	97994771	Smith	Justin	Christine	MD	5/27/1980	Active				1163	C	 S	Martin Shore	 BLVD	 S	APT	2957	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	28020954	Murphy	David	Jason	PhD	5/27/1980	Active				5805	D	 S	Matthew Mews	 ST	 South	 STE	9939	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	74963719	Flores	Angela	Theresa	PhD	5/27/1980	Inactive				9847	C	 S	Velasquez Field	 AVE	N	 Trailer	6898	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	87251795	Lewis	Sharon	Nicholas	MD	5/27/1980	Active				8430	D	N	Tamara Place	DR	 S	 STE	1985	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	49198155	Watson	Monica	Michael	MD	5/27/1980	Inactive				9214	A	 S	Burns Club	DR	 North	 Unit	9468	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	21920744	Smith	Cheryl	Jessica	MD	5/27/1980	Inactive				5205	C	 West	Jason Harbor	 ST	N	 STE	86	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	13798027	Lee	Thomas	Darryl	MD	5/27/1980	Active				7694	A	 S	Baker Heights	DR	 North	 Trailer	3242	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	55337059	Scott	Alex	Ashley	MD	5/27/1980	Inactive				7965	A	N	James Trail	DR	N	 Unit	7140	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	40760328	Martin	Ronald	Monica	MD	5/27/1980	Active				5325	B	 S	Teresa Inlet	 AVE	N	 STE	5387	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	28571880	Wright	Rhonda	Aaron	PhD	5/27/1980	Active				8785	A	 East	Michele Orchard	 BLVD	N	 Trailer	2109	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	98922434	Morse	Elizabeth	Katherine	PhD	5/27/1980	Active				4907	A	 West	Brewer Circles	 BLVD	 North	 Unit	1747	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	73894329	Smith	Jose	Sharon	MD	5/27/1980	Active				4598	A	 East	Thompson Fords	DR	N	 STE	5168	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	66304661	Smith	Angela	Christina	MD	5/27/1980	Active				5689	A	 West	Lewis Street	 AVE	 South	 STE	572	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	85455077	Kramer	Sheila	Jacob	PhD	5/27/1980	Active				9989	A	 S	Lopez Parks	 BLVD	 North	APT	45	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	94455453	Adams	Jacqueline	Kyle	PhD	5/27/1980	Active				2088	C	 East	Wiggins Mission	 AVE	 South	 Unit	352	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	58236734	Torres	Adrienne	Michael	PhD	5/27/1980	Active				4270	B	N	Jorge Burg	DR	 S	APT	5141	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	89835256	Rodriguez	Joseph	Richard	MD	5/27/1980	Active				4770	A	 West	Reed Parkway	 ST	 South	 Unit	5315	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	70722745	Ellis	Christopher	Anthony	PhD	5/27/1980	Inactive				6609	D	 East	West Highway	 AVE	 North	APT	4377	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	42009546	Jones	Mary	Tyler	PhD	5/27/1980	Active				4032	C	N	Sharon Rue	 AVE	 South	 STE	6012	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
